Name,Color, NumberFrame, Infor
0,1;0.837667;0;1,1,-18.75;126.37;0
1,1;0.837667;0;1,1,-16.05;122.19;0
2,1;0.837667;0;1,1,-19.87;121.26;0
3,1;0.837667;0;1,1,-11.14;121.75;0
4,1;0.837667;0;1,1,-5.32;121.75;0
5,1;0.837667;0;1,1,-0.5699997;121.65;0
6,1;0.837667;0;1,1,2.24;125.53;0
7,1;0.837667;0;1,1,3.400001;118.16;0
8,1;0.837667;0;1,1,7.18;114.76;0
9,1;0.837667;0;1,1,11.84;110.39;0
10,1;0.837667;0;1,1,17.47;107.77;0
11,1;0.837667;0;1,1,26.3;110.97;0
12,1;0.837667;0;1,1,23.1;107.57;0
13,1;0.837667;0;1,1,20.09;102.91;0
14,1;0.837667;0;1,1,13.88;101.94;0
15,1;0.837667;0;1,1,7.48;101.65;0
16,1;0.837667;0;1,1,0.8800001;103.11;0
17,1;0.837667;0;1,1,-4.46;106.51;0
18,1;0.837667;0;1,1,-7.79;110.35;0
19,1;0.837667;0;1,1,-13.91;118.14;0
20,1;0.837667;0;1,1,-13.68;111.75;0
21,1;0.837667;0;1,1,-10.47;113.86;0
22,1;0.837667;0;1,1,-23.28;117.32;0
23,1;0.837667;0;1,1,-26.81;113.42;0
24,1;0.837667;0;1,1,-31.52;109.74;0
25,1;0.837667;0;1,1,-25.56;109.74;0
26,1;0.837667;0;1,1,-19.6;110.04;0
27,1;0.837667;0;1,1,-36.08;107.84;0
28,1;0.837667;0;1,1,-44.23;110.62;0
29,1;0.837667;0;1,1,-40.97;106.69;0
30,1;0.837667;0;1,1,-37.14;102.57;0
31,1;0.837667;0;1,1,-30.34;102.28;0
32,1;0.837667;0;1,1,-23.92;101.99;0
33,1;0.837667;0;1,1,-18.07;101.99;0
34,1;0.837667;0;1,1,-8.96;104.38;0
35,1;0.837667;0;1,1,-13.46;102.65;0
36,1;0.837667;0;1,1,-8.19;98.82001;0
37,1;0.837667;0;1,1,-8.19;93.55;0
38,1;0.837667;0;1,1,-8.19;87.61;0
39,1;0.837667;0;1,1,-28.03;97.67001;0
40,1;0.837667;0;1,1,-28.03;93.26;0
41,1;0.837667;0;1,1,-28.03;87.51;0
42,1;0.837667;0;1,1,8.87;97.48;0
43,1;0.837667;0;1,1,8.869998;92.59;0
44,1;0.837667;0;1,1,8.869998;87.32001;0
45,1;0.837667;0;1,1,16.06;83.49001;0
46,1;0.837667;0;1,1,9.06;83.49001;0
47,1;0.837667;0;1,1,-8.099999;83.49001;0
48,1;0.837667;0;1,1,0.8200006;83.49001;0
49,1;0.837667;0;1,1,-21.52;84.42001;0
50,1;0.837667;0;1,1,-29.27;83.59;0
51,1;0.837667;0;1,1,-34.06;83.49001;0
52,1;0.837667;0;1,1,-29.46;77.26;0
53,1;0.837667;0;1,1,-23.04;76.4;0
54,1;0.837667;0;1,1,-17.58;72.85001;0
55,1;0.837667;0;1,1,-13.36;66.72;0
56,1;0.837667;0;1,1,-14.7;78.51;0
57,1;0.837667;0;1,1,-8.57;71.8;0
58,1;0.837667;0;1,1,-8.47;78.51;0
59,1;0.837667;0;1,1,3.7;79.37;0
60,1;0.837667;0;1,1,-0.1300001;75.34;0
61,1;0.837667;0;1,1,-3.58;71.03001;0
62,1;0.837667;0;1,1,-3.58;64.8;0
63,1;0.837667;0;1,1,-3.58;58.9;0
64,1;0.837667;0;1,1,-3.58;52.7;0
65,1;0.837667;0;1,1,-3.58;46.5;0
66,1;0.837667;0;1,1,-3.58;41.1;0
67,1;0.837667;0;1,1,-13.3;59.5;0
68,1;0.837667;0;1,1,-13.3;52.3;0
69,1;0.837667;0;1,1,-13.3;46.3;0
70,1;0.837667;0;1,1,-13.3;41.2;0
71,1;0.837667;0;1,1,-18.6;39.5;0
72,1;0.837667;0;1,1,2.2;38.5;0
73,1;0.837667;0;1,1,7.1;34.3;0
74,1;0.837667;0;1,1,-23;34.3;0
75,1;0.837667;0;1,1,-30.1;34.3;0
76,1;0.837667;0;1,1,14.9;34.3;0
77,1;0.837667;0;1,1,-15.4;34.3;0
78,1;0.837667;0;1,1,-8.599999;34.3;0
79,1;0.837667;0;1,1,-1.8;34.3;0
80,0.8773585;0.7496598;0.2358935;1,1,-14.7;28.3;0
81,0.8773585;0.7496598;0.2358935;1,1,-3.7;28.3;0
82,0.8773585;0.7496598;0.2358935;1,1,-4;20.7;0
83,0.8773585;0.7496598;0.2358935;1,1,-14.2;20.7;0
84,0.8773585;0.7496598;0.2358935;1,1,-14.6;84.10001;0
