id,color,numberFrame,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9
0,1;0.5;1;1,9,27.4705;41.7667;15.0000,27.4705;41.7667;15.0000,27.4705;41.7667;15.0000,27.4705;41.7667;15.0000,27.4705;41.7667;15.0000,27.4705;41.7667;15.0000,27.4705;41.7667;15.0000,27.4705;41.7667;15.0000,34.4263;40.9939;15.0000
1,1;0.5;1;1,9,36.5510;44.0866;15.0000,36.5510;44.0866;15.0000,36.5510;44.0866;15.0000,36.5510;44.0866;15.0000,36.5510;44.0866;15.0000,36.5510;44.0866;15.0000,36.5510;44.0866;15.0000,36.5510;44.0866;15.0000,43.5068;43.3137;15.0000
2,1;0.5;1;1,9,45.1791;47.7730;15.0000,45.1791;47.7730;15.0000,45.1791;47.7730;15.0000,45.1791;47.7730;15.0000,45.1791;47.7730;15.0000,45.1791;47.7730;15.0000,45.1791;47.7730;15.0000,45.1791;47.7730;15.0000,52.1349;47.0001;15.0000
3,1;0.5;1;1,9,53.3720;52.3527;15.0000,53.3720;52.3527;15.0000,53.3720;52.3527;15.0000,53.3720;52.3527;15.0000,53.3720;52.3527;15.0000,53.3720;52.3527;15.0000,53.3720;52.3527;15.0000,53.3720;52.3527;15.0000,60.3277;51.5799;15.0000
4,1;0.5;1;1,9,60.7768;58.0947;15.0000,60.7768;58.0947;15.0000,60.7768;58.0947;15.0000,60.7768;58.0947;15.0000,60.7768;58.0947;15.0000,60.7768;58.0947;15.0000,60.7768;58.0947;15.0000,60.7768;58.0947;15.0000,67.7326;57.3218;15.0000
5,1;0.5;1;1,9,67.3957;64.6641;15.0000,67.3957;64.6641;15.0000,67.3957;64.6641;15.0000,67.3957;64.6641;15.0000,67.3957;64.6641;15.0000,67.3957;64.6641;15.0000,67.3957;64.6641;15.0000,67.3957;64.6641;15.0000,74.3515;63.8913;15.0000
6,1;0.5;1;1,9,72.9337;72.2207;15.0000,72.9337;72.2207;15.0000,72.9337;72.2207;15.0000,72.9337;72.2207;15.0000,72.9337;72.2207;15.0000,72.9337;72.2207;15.0000,72.9337;72.2207;15.0000,72.9337;72.2207;15.0000,79.8895;71.4479;15.0000
7,1;0.5;1;1,9,77.6231;80.3373;15.0000,77.6231;80.3373;15.0000,77.6231;80.3373;15.0000,77.6231;80.3373;15.0000,77.6231;80.3373;15.0000,77.6231;80.3373;15.0000,77.6231;80.3373;15.0000,77.6231;80.3373;15.0000,84.5789;79.5644;15.0000
8,1;0.5;1;1,9,81.0345;89.0404;15.0000,81.0345;89.0404;15.0000,81.0345;89.0404;15.0000,81.0345;89.0404;15.0000,81.0345;89.0404;15.0000,81.0345;89.0404;15.0000,81.0345;89.0404;15.0000,81.0345;89.0404;15.0000,87.9902;88.2675;15.0000
9,1;0.5;1;1,9,83.5152;98.0915;15.0000,83.5152;98.0915;15.0000,83.5152;98.0915;15.0000,83.5152;98.0915;15.0000,83.5152;98.0915;15.0000,83.5152;98.0915;15.0000,83.5152;98.0915;15.0000,83.5152;98.0915;15.0000,90.4710;97.3186;15.0000
