Name,Color, NumberFrame, Infor
0,0.5568628;0;0.2566704;1,1,1.400002;14.9;12.6
1,0.5568628;0;0.2566704;1,1,1.400002;14.9;15.6
2,0.5568628;0;0.2566704;1,1,1.400002;14.9;18.6
3,0.5568628;0;0.2566704;1,1,1.400002;14.9;21.6
4,0.5568628;0;0.2566704;1,1,1.400002;14.9;24.6
5,0.5568628;0;0.2566704;1,1,1.400002;14.9;27.6
6,0.5568628;0;0.2566704;1,1,1.400002;14.9;30.6
7,0.5568628;0;0.2566704;1,1,1.400002;14.9;33.6
8,0.5568628;0;0.2566704;1,1,1.400002;14.9;36.6
9,0.5568628;0;0.2566704;1,1,1.400002;14.9;39.6
10,0.5568628;0;0.2566704;1,1,-1.599998;14.9;33.6
11,0.5568628;0;0.2566704;1,1,-1.599998;14.9;12.6
12,0.5568628;0;0.2566704;1,1,-1.599998;14.9;15.6
13,0.5568628;0;0.2566704;1,1,-1.599998;14.9;18.6
14,0.5568628;0;0.2566704;1,1,-1.599998;14.9;21.6
15,0.5568628;0;0.2566704;1,1,-1.599998;14.9;24.6
16,0.5568628;0;0.2566704;1,1,-1.599998;14.9;27.6
17,0.5568628;0;0.2566704;1,1,-1.599998;14.9;30.6
18,0.5568628;0;0.2566704;1,1,-1.599998;14.9;36.6
19,0.5568628;0;0.2566704;1,1,-1.599998;14.9;39.6
20,0.5568628;0;0.2566704;1,1,-4.599998;14.9;12.6
21,0.5568628;0;0.2566704;1,1,-4.599998;14.9;15.6
22,0.5568628;0;0.2566704;1,1,-4.599998;14.9;18.6
23,0.5568628;0;0.2566704;1,1,-4.599998;14.9;21.6
24,0.5568628;0;0.2566704;1,1,-4.599998;14.9;24.6
25,0.5568628;0;0.2566704;1,1,-4.599998;14.9;27.6
26,0.5568628;0;0.2566704;1,1,-4.599998;14.9;30.6
27,0.5568628;0;0.2566704;1,1,-4.599998;14.9;33.6
28,0.5568628;0;0.2566704;1,1,-4.599998;14.9;36.6
29,0.5568628;0;0.2566704;1,1,-4.599998;14.9;39.6
30,0.5568628;0;0.2566704;1,1,-7.599998;14.9;12.6
31,0.5568628;0;0.2566704;1,1,-7.599998;14.9;15.6
32,0.5568628;0;0.2566704;1,1,-7.599998;14.9;18.6
33,0.5568628;0;0.2566704;1,1,-7.599998;14.9;21.6
34,0.5568628;0;0.2566704;1,1,-7.599998;14.9;24.6
35,0.5568628;0;0.2566704;1,1,-7.599998;14.9;27.6
36,0.5568628;0;0.2566704;1,1,-7.599998;14.9;30.6
37,0.5568628;0;0.2566704;1,1,-7.599998;14.9;33.6
38,0.5568628;0;0.2566704;1,1,-7.599998;14.9;36.6
39,0.5568628;0;0.2566704;1,1,-7.599998;14.9;39.6
40,0.5568628;0;0.2566704;1,1,-10.6;14.9;12.6
41,0.5568628;0;0.2566704;1,1,-10.6;14.9;15.6
42,0.5568628;0;0.2566704;1,1,-10.6;14.9;18.6
43,0.5568628;0;0.2566704;1,1,-10.6;14.9;21.6
44,0.5568628;0;0.2566704;1,1,-10.6;14.9;24.6
45,0.5568628;0;0.2566704;1,1,-10.6;14.9;27.6
46,0.5568628;0;0.2566704;1,1,-10.6;14.9;30.6
47,0.5568628;0;0.2566704;1,1,-10.6;14.9;33.6
48,0.5568628;0;0.2566704;1,1,-10.6;14.9;36.6
49,0.5568628;0;0.2566704;1,1,-10.6;14.9;39.6
50,0.5568628;0;0.2566704;1,1,-13.6;14.9;12.6
51,0.5568628;0;0.2566704;1,1,-13.6;14.9;15.6
52,0.5568628;0;0.2566704;1,1,-13.6;14.9;18.6
53,0.5568628;0;0.2566704;1,1,-13.6;14.9;21.6
54,0.5568628;0;0.2566704;1,1,-13.6;14.9;24.6
55,0.5568628;0;0.2566704;1,1,-13.6;14.9;27.6
56,0.5568628;0;0.2566704;1,1,-13.6;14.9;30.6
57,0.5568628;0;0.2566704;1,1,-13.6;14.9;33.6
58,0.5568628;0;0.2566704;1,1,-13.6;14.9;36.6
59,0.5568628;0;0.2566704;1,1,-13.6;14.9;39.6
60,0.5568628;0;0.2566704;1,1,-16.6;14.9;12.6
61,0.5568628;0;0.2566704;1,1,-16.6;14.9;15.6
62,0.5568628;0;0.2566704;1,1,-16.6;14.9;18.6
63,0.5568628;0;0.2566704;1,1,-16.6;14.9;21.6
64,0.5568628;0;0.2566704;1,1,-16.6;14.9;24.6
65,0.5568628;0;0.2566704;1,1,-16.6;14.9;27.6
66,0.5568628;0;0.2566704;1,1,-16.6;14.9;30.6
67,0.5568628;0;0.2566704;1,1,-16.6;14.9;33.6
68,0.5568628;0;0.2566704;1,1,-16.6;14.9;36.6
69,0.5568628;0;0.2566704;1,1,-16.6;14.9;39.6
70,0.5568628;0;0.2566704;1,1,-19.6;14.9;12.6
71,0.5568628;0;0.2566704;1,1,-19.6;14.9;15.6
72,0.5568628;0;0.2566704;1,1,-19.6;14.9;18.6
73,0.5568628;0;0.2566704;1,1,-19.6;14.9;21.6
74,0.5568628;0;0.2566704;1,1,-19.6;14.9;24.6
75,0.5568628;0;0.2566704;1,1,-19.6;14.9;27.6
