Name,Color, NumberFrame, Infor
0,0.9137256;0.8941177;0.3882353;1,1,-37.05;79.84;12.6
1,0.9137256;0.8941177;0.3882353;1,1,-37.08;75.82999;12.6
2,0.9137256;0.8941177;0.3882353;1,1,-37.12;72.00999;12.6
3,0.9137256;0.8941177;0.3882353;1,1,-37.09;67.94;12.6
4,0.9137256;0.8941177;0.3882353;1,1,-33.78;64.16;12.6
5,0.9137256;0.8941177;0.3882353;1,1,-28.39;64.25;12.6
6,0.9137256;0.8941177;0.3882353;1,1,-24.88;68.07;12.6
7,0.9137256;0.8941177;0.3882353;1,1,-24.79;71.93;12.6
8,0.9137256;0.8941177;0.3882353;1,1,-24.91;75.84;12.6
9,0.9137256;0.8941177;0.3882353;1,1,-24.82;79.85;12.6
10,0.9137256;0.8941177;0.3882353;1,1,-16.27;79.84;12.6
11,0.9137256;0.8941177;0.3882353;1,1,-16.18;75.81;12.6
12,0.9137256;0.8941177;0.3882353;1,1,-16.27;71.94;12.6
13,0.9137256;0.8941177;0.3882353;1,1,-16.22;68.05;12.6
14,0.9137256;0.8941177;0.3882353;1,1,-16.32;64.1;12.6
15,0.9137256;0.8941177;0.3882353;1,1,-11.53;79.84;12.6
16,0.9137256;0.8941177;0.3882353;1,1,-11.44;71.94;12.6
17,0.9137256;0.8941177;0.3882353;1,1,-11.49;64.04;12.6
18,0.9137256;0.8941177;0.3882353;1,1,-6.609999;79.93;12.6
19,0.9137256;0.8941177;0.3882353;1,1,-6.649998;64.07;12.6
20,0.9137256;0.8941177;0.3882353;1,1,0.3300018;79.93;12.6
21,0.9137256;0.8941177;0.3882353;1,1,4.640003;79.93;12.6
22,0.9137256;0.8941177;0.3882353;1,1,8.670002;79.93;12.6
23,0.9137256;0.8941177;0.3882353;1,1,12.72001;79.93;12.6
24,0.9137256;0.8941177;0.3882353;1,1,6.550003;75.99;12.6
25,0.9137256;0.8941177;0.3882353;1,1,6.660004;71.87;12.6
26,0.9137256;0.8941177;0.3882353;1,1,6.750004;67.94;12.6
27,0.9137256;0.8941177;0.3882353;1,1,6.630005;64.2;12.6
28,0.2122642;0.3598944;1;1,1,-59.9;57.32;12.6
29,0.2122642;0.3598944;1;1,1,-56.09;57.21;12.6
30,0.2122642;0.3598944;1;1,1,-63.25;53.6;12.6
31,0.2122642;0.3598944;1;1,1,-63.34;49.73;12.6
32,0.2122642;0.3598944;1;1,1,-63.34;45.89;12.6
33,0.2122642;0.3598944;1;1,1,-59.9;41.93;12.6
34,0.2122642;0.3598944;1;1,1,-56.22;41.85;12.6
35,0.2122642;0.3598944;1;1,1,-46.78;41.89;12.6
36,0.2122642;0.3598944;1;1,1,-46.86;46.54;12.6
37,0.2122642;0.3598944;1;1,1,-46.82;51.57;12.6
38,0.2122642;0.3598944;1;1,1,-46.82;57.33;12.6
39,0.2122642;0.3598944;1;1,1,-44.02;53.61;12.6
40,0.2122642;0.3598944;1;1,1,-41.3;49.65;12.6
41,0.2122642;0.3598944;1;1,1,-38.67;45.78;12.6
42,0.2122642;0.3598944;1;1,1,-35.86;41.87;12.6
43,0.2122642;0.3598944;1;1,1,-35.86;47.99;12.6
44,0.2122642;0.3598944;1;1,1,-35.86;52.52;12.6
45,0.2122642;0.3598944;1;1,1,-35.86;57.38;12.6
46,0.2122642;0.3598944;1;1,1,-26.59;57.37;12.6
47,0.2122642;0.3598944;1;1,1,-26.59;53.64;12.6
48,0.2122642;0.3598944;1;1,1,-26.48;49.74;12.6
49,0.2122642;0.3598944;1;1,1,-26.71;41.94;12.6
50,0.2122642;0.3598944;1;1,1,-21.84;57.37;12.6
51,0.2122642;0.3598944;1;1,1,-17.72;57.26;12.6
52,0.2122642;0.3598944;1;1,1,-17.89;53.53;12.6
53,0.2122642;0.3598944;1;1,1,-21.83;49.66;12.6
54,0.2122642;0.3598944;1;1,1,-17.71;49.66;12.6
55,0.2122642;0.3598944;1;1,1,-17.82;45.68;12.6
56,0.2122642;0.3598944;1;1,1,-21.83;41.78;12.6
57,0.2122642;0.3598944;1;1,1,-2.669998;58.03;12.6
58,0.2122642;0.3598944;1;1,1,-2.669998;54.09;12.6
59,0.2122642;0.3598944;1;1,1,-2.73;50.39;12.6
60,0.2122642;0.3598944;1;1,1,-2.849998;46.58;12.6
61,0.2122642;0.3598944;1;1,1,-2.73;42.58;12.6
62,0.2122642;0.3598944;1;1,1,3.830002;54.09;12.6
63,0.2122642;0.3598944;1;1,1,1.330002;50.27;12.6
64,0.2122642;0.3598944;1;1,1,3.950001;46.52;12.6
65,0.2122642;0.3598944;1;1,1,7.41;42.7;12.6
66,0.2122642;0.3598944;1;1,1,17.24;57.91;12.6
67,0.2122642;0.3598944;1;1,1,14.26;54.09;12.6
68,0.2122642;0.3598944;1;1,1,14.26;50.39;12.6
69,0.2122642;0.3598944;1;1,1,17.24;50.39;12.6
70,0.2122642;0.3598944;1;1,1,21.42;50.33;12.6
71,0.2122642;0.3598944;1;1,1,14.2;46.34;12.6
72,0.2122642;0.3598944;1;1,1,17.13;42.64;12.6
73,0.2122642;0.3598944;1;1,1,21.2;42.71;12.6
74,0.2122642;0.3598944;1;1,1,23.24;46.45;12.6
75,0.2122642;0.3598944;1;1,1,32.76;57.81;12.6
76,0.2122642;0.3598944;1;1,1,29.77;54.21;12.6
77,0.2122642;0.3598944;1;1,1,29.84;50.33;12.6
78,0.2122642;0.3598944;1;1,1,32.76;50.33;12.6
79,0.2122642;0.3598944;1;1,1,36.91;50.26;12.6
80,0.2122642;0.3598944;1;1,1,29.84;46.66;12.6
81,0.2122642;0.3598944;1;1,1,38.75;46.52;12.6
82,0.2122642;0.3598944;1;1,1,32.7;42.71;12.6
83,0.2122642;0.3598944;1;1,1,36.98;42.58;12.6
84,0.2122642;0.3598944;1;1,1,5.800003;57.89;12.6
