Name,Color, NumberFrame, Infor
0,1;0.7106807;0;1,1,-18.97;89.67001;12.6
1,1;0.7106807;0;1,1,-22.91;86.27;12.6
2,1;0.7106807;0;1,1,-26.15;82.41;12.6
3,1;0.7106807;0;1,1,-13.95;90.28;12.6
4,1;0.7106807;0;1,1,-8.929999;90.59;12.6
5,1;0.7106807;0;1,1,-3.22;90.74001;12.6
6,1;0.7106807;0;1,1,2.26;90.43;12.6
7,1;0.7106807;0;1,1,7.660001;89.19;12.6
8,1;0.7106807;0;1,1,11.21;86.02;12.6
9,1;0.7106807;0;1,1,14.3;82.39;12.6
10,1;0.7106807;0;1,1,17.08;78.53001;12.6
11,1;0.7106807;0;1,1,14.82;76.03001;12.6
12,1;0.7106807;0;1,1,8.77;76.03001;12.6
13,1;0.7106807;0;1,1,2.88;76.27;12.6
14,1;0.7106807;0;1,1,-3.41;76.27;12.6
15,1;0.7106807;0;1,1,-9.94;76.27;12.6
16,1;0.7106807;0;1,1,-16.07;76.19;12.6
17,1;0.7106807;0;1,1,-21.8;76.11;12.6
18,1;0.7106807;0;1,1,-27.77;75.87;12.6
19,1;0.7106807;0;1,1,-29.63;78.77;12.6
20,1;0.7106807;0;1,1,-33.1;77;12.6
21,1;0.7106807;0;1,1,-38.18;76.52;12.6
22,1;0.7106807;0;1,1,-42.86;75.15;12.6
23,1;0.7106807;0;1,1,-46.65;71.76;12.6
24,1;0.7106807;0;1,1,-48.83;67.24001;12.6
25,1;0.7106807;0;1,1,-48.75;61.59;12.6
26,1;0.7106807;0;1,1,-45.04;60.46;12.6
27,1;0.7106807;0;1,1,-41.41;62.96;12.6
28,1;0.7106807;0;1,1,-38.34;66.59;12.6
29,1;0.7106807;0;1,1,-33.9;67.56001;12.6
30,1;0.7106807;0;1,1,-29.79;66.43;12.6
31,1;0.7106807;0;1,1,-26.89;63.04;12.6
32,1;0.7106807;0;1,1,-23.66;60.22;12.6
33,1;0.7106807;0;1,1,-26.81;57.96;12.6
34,1;0.7106807;0;1,1,-29.47;54.17001;12.6
35,1;0.7106807;0;1,1,-33.83;52.64;12.6
36,1;0.7106807;0;1,1,-38.59;54.25;12.6
37,1;0.7106807;0;1,1,-41.58;58.28;12.6
38,1;0.7106807;0;1,1,-18.91;60.62;12.6
39,1;0.7106807;0;1,1,-13.67;60.62;12.6
40,1;0.7106807;0;1,1,-7.86;60.62;12.6
41,1;0.7106807;0;1,1,-1.97;60.62;12.6
42,1;0.7106807;0;1,1,3.27;60.62;12.6
43,1;0.7106807;0;1,1,8.19;62.96;12.6
44,1;0.7106807;0;1,1,10.93;66.43;12.6
45,1;0.7106807;0;1,1,15.13;67.88;12.6
46,1;0.7106807;0;1,1,19.73;66.59;12.6
47,1;0.7106807;0;1,1,22.39;62.72;12.6
48,1;0.7106807;0;1,1,26.26;60.54;12.6
49,1;0.7106807;0;1,1,22.63;57.88;12.6
50,1;0.7106807;0;1,1,19.89;54.09;12.6
51,1;0.7106807;0;1,1,15.29;52.64;12.6
52,1;0.7106807;0;1,1,10.69;54.17001;12.6
53,1;0.7106807;0;1,1,8.11;58.28;12.6
54,1;0.7106807;0;1,1,8.400001;98;12.6
55,1;0.7106807;0;1,1,30.67;60.99;12.6
56,1;0.7106807;0;1,1,30.59;66.45;12.6
57,1;0.7106807;0;1,1,29.83;71.45;12.6
58,1;0.7106807;0;1,1,27.18;75.09;12.6
59,1;0.7106807;0;1,1,21.87;76.53001;12.6
60,1;0.7106807;0;1,1,-18.15;85.69;12.6
61,1;0.7106807;0;1,1,-14.33;85.69;12.6
62,1;0.7106807;0;1,1,-10.27;85.69;12.6
63,1;0.7106807;0;1,1,-18.17;82.2;12.6
64,1;0.7106807;0;1,1,-14.49;82.2;12.6
65,1;0.7106807;0;1,1,-10.2;82.2;12.6
66,1;0.7106807;0;1,1,-17.95;70.03001;12.6
67,1;0.7106807;0;1,1,-14.09;70.03001;12.6
68,1;0.7106807;0;1,1,-0.3299999;70.03001;12.6
69,1;0.7106807;0;1,1,3.55;70.03001;12.6
70,1;0.7106807;0;1,1,-3.36;86.14;12.6
71,1;0.7106807;0;1,1,0.07000065;86.14;12.6
72,1;0.7106807;0;1,1,3.610001;86.14;12.6
73,1;0.7106807;0;1,1,3.610001;82.82001;12.6
74,1;0.7106807;0;1,1,0.02000046;82.82001;12.6
75,1;0.7106807;0;1,1,-3.57;82.82001;12.6
76,1;0.7106807;0;1,1,-34.7;61.5;12.6
77,1;0.7106807;0;1,1,15.4;61.5;12.6
78,0.3632075;0.987399;1;1,1,-44.4;98.60001;12.6
79,0.3632075;0.987399;1;1,1,-26;107.3;12.6
80,0.3632075;0.987399;1;1,1,4.1;107;12.6
81,0.3632075;0.987399;1;1,1,-11.3;106.9;12.6
82,0.3632075;0.987399;1;1,1,16.1;112.5;12.6
83,0.3632075;0.987399;1;1,1,19.6;104.8;12.6
84,0.3632075;0.987399;1;1,1,-4.1;116;12.6
