id,color,numberFrame,frame1
0,1;0.5;1;1,1,11.5171;28.3043;15.0000
1,1;0.5;1;1,1,8.2399;32.1656;15.0000
2,1;0.5;1;1,1,8.2083;35.8535;15.0000
3,1;0.5;1;1,1,6.7407;40.1414;15.0000
4,1;0.5;1;1,1,3.6142;42.9703;15.0000
5,1;0.5;1;1,1,-1.4326;43.0009;15.0000
6,1;0.5;1;1,1,-6.3644;44.1610;15.0000
7,1;0.5;1;1,1,-9.6718;41.1817;15.0000
8,1;0.5;1;1,1,-13.7714;38.3440;15.0000
9,1;0.5;1;1,1,-16.4087;35.5066;15.0000
10,1;0.5;1;1,1,-19.8922;34.1859;15.0000
11,1;0.5;1;1,1,-24.7636;35.1880;15.0000
12,1;0.5;1;1,1,-29.1467;33.3410;15.0000
13,1;0.5;1;1,1,-28.6799;38.3665;15.0000
14,1;0.5;1;1,1,-28.0299;43.3936;15.0000
15,1;0.5;1;1,1,-25.6697;46.4617;15.0000
16,1;0.5;1;1,1,-20.6578;45.7533;15.0000
17,1;0.5;1;1,1,-17.4475;42.5933;15.0000
18,1;0.5;1;1,1,-13.2111;43.7003;15.0000
19,1;0.5;1;1,1,-13.4690;47.0576;15.0000
20,1;0.5;1;1,1,-18.3230;48.5085;15.0000
21,1;0.5;1;1,1,-23.2915;49.5097;15.0000
22,1;0.5;1;1,1,-23.1593;52.4004;15.0000
23,1;0.5;1;1,1,-23.3606;56.1998;15.0000
24,1;0.5;1;1,1,-24.5255;61.0997;15.0000
25,1;0.5;1;1,1,-23.9075;66.1066;15.0000
26,1;0.5;1;1,1,-21.6354;70.6078;15.0000
27,1;0.5;1;1,1,-17.8564;73.9340;15.0000
28,1;0.5;1;1,1,-13.2734;76.0870;15.0000
29,1;0.5;1;1,1,-8.7619;78.2713;15.0000
30,1;0.5;1;1,1,-10.8022;80.1978;15.0000
31,1;0.5;1;1,1,-15.8101;80.9176;15.0000
32,1;0.5;1;1,1,-20.1545;83.3987;15.0000
33,1;0.5;1;1,1,-22.3091;87.8879;15.0000
34,1;0.5;1;1,1,-20.8984;92.5843;15.0000
35,1;0.5;1;1,1,-16.7134;95.2634;15.0000
36,1;0.5;1;1,1,-12.3715;95.9820;15.0000
37,1;0.5;1;1,1,-12.3628;101.0350;15.0000
38,1;0.5;1;1,1,-11.1725;105.9506;15.0000
39,1;0.5;1;1,1,-8.8036;110.4143;15.0000
40,1;0.5;1;1,1,-5.2945;114.0501;15.0000
41,1;0.5;1;1,1,-8.7903;115.5872;15.0000
42,1;0.5;1;1,1,-12.1204;119.3383;15.0000
43,1;0.5;1;1,1,-14.0652;123.9957;15.0000
44,1;0.5;1;1,1,-13.0220;128.9141;15.0000
45,1;0.5;1;1,1,-10.0433;132.8891;15.0000
46,1;0.5;1;1,1,-6.2091;129.6106;15.0000
47,1;0.5;1;1,1,-2.8937;125.7843;15.0000
48,1;0.5;1;1,1,1.1349;124.0029;15.0000
49,1;0.5;1;1,1,0.1102;119.0978;15.0000
50,1;0.5;1;1,1,1.2879;117.4552;15.0000
51,1;0.5;1;1,1,6.2408;118.5025;15.0000
52,1;0.5;1;1,1,11.2752;118.2396;15.0000
53,1;0.5;1;1,1,15.6195;120.4322;15.0000
54,1;0.5;1;1,1,20.4099;119.4968;15.0000
55,1;0.5;1;1,1,20.6788;114.7463;15.0000
56,1;0.5;1;1,1,24.2077;114.5884;15.0000
57,1;0.5;1;1,1,28.9117;113.0528;15.0000
58,1;0.5;1;1,1,28.1500;108.7531;15.0000
59,1;0.5;1;1,1,29.1467;104.6801;15.0000
60,1;0.5;1;1,1,26.8135;100.8135;15.0000
61,1;0.5;1;1,1,24.2605;97.4698;15.0000
62,1;0.5;1;1,1,23.3445;92.4873;15.0000
63,1;0.5;1;1,1,24.9129;88.1854;15.0000
64,1;0.5;1;1,1,22.8026;83.6128;15.0000
65,1;0.5;1;1,1,19.1691;80.1128;15.0000
66,1;0.5;1;1,1,14.5666;78.0638;15.0000
67,1;0.5;1;1,1,9.5282;78.0541;15.0000
68,1;0.5;1;1,1,10.4922;73.6811;15.0000
69,1;0.5;1;1,1,14.2846;70.3367;15.0000
70,1;0.5;1;1,1,19.0226;68.5482;15.0000
71,1;0.5;1;1,1,23.5435;66.3113;15.0000
72,1;0.5;1;1,1,25.5908;61.8396;15.0000
73,1;0.5;1;1,1,24.0352;57.1480;15.0000
74,1;0.5;1;1,1,19.7482;54.5801;15.0000
75,1;0.5;1;1,1,16.3254;52.9815;15.0000
76,1;0.5;1;1,1,17.2284;48.0120;15.0000
77,1;0.5;1;1,1,12.9355;45.9153;15.0000
78,1;0.5;1;1,1,10.1452;43.1232;15.0000
79,1;0.5;1;1,1,12.4512;38.6116;15.0000
80,1;0.5;1;1,1,17.1378;39.5970;15.0000
81,1;0.5;1;1,1,19.3472;35.2002;15.0000
82,1;0.5;1;1,1,22.6855;32.4869;15.0000
83,1;0.5;1;1,1,20.5496;29.2053;15.0000
84,1;0.5;1;1,1,15.9416;27.1109;15.0000
