id,color,numberFrame,frame1
0,1;0.5;1;1,1,-16.0191;23.3094;15.0000
1,1;0.5;1;1,1,-14.3667;27.8733;15.0000
2,1;0.5;1;1,1,-12.5069;32.3590;15.0000
3,1;0.5;1;1,1,-13.4299;36.4507;15.0000
4,1;0.5;1;1,1,-15.6467;40.5070;15.0000
5,1;0.5;1;1,1,-16.3846;45.1127;15.0000
6,1;0.5;1;1,1,-18.8852;49.0377;15.0000
7,1;0.5;1;1,1,-23.4406;49.1079;15.0000
8,1;0.5;1;1,1,-27.4306;51.0967;15.0000
9,1;0.5;1;1,1,-30.2967;54.6131;15.0000
10,1;0.5;1;1,1,-31.1938;59.3809;15.0000
11,1;0.5;1;1,1,-30.7931;64.1794;15.0000
12,1;0.5;1;1,1,-30.1089;68.6525;15.0000
13,1;0.5;1;1,1,-33.2840;70.3004;15.0000
14,1;0.5;1;1,1,-37.5538;70.3926;15.0000
15,1;0.5;1;1,1,-37.1129;75.2204;15.0000
16,1;0.5;1;1,1,-39.5618;77.5410;15.0000
17,1;0.5;1;1,1,-41.5825;79.8154;15.0000
18,1;0.5;1;1,1,-39.0465;83.9234;15.0000
19,1;0.5;1;1,1,-42.7879;85.1776;15.0000
20,1;0.5;1;1,1,-43.4670;89.0530;15.0000
21,1;0.5;1;1,1,-41.5174;93.4986;15.0000
22,1;0.5;1;1,1,-39.2503;97.7923;15.0000
23,1;0.5;1;1,1,-40.0939;101.6041;15.0000
24,1;0.5;1;1,1,-43.1566;104.7773;15.0000
25,1;0.5;1;1,1,-46.4286;108.2871;15.0000
26,1;0.5;1;1,1,-42.8602;110.3385;15.0000
27,1;0.5;1;1,1,-38.3416;112.1113;15.0000
28,1;0.5;1;1,1,-33.9421;113.5521;15.0000
29,1;0.5;1;1,1,-32.8281;116.3638;15.0000
30,1;0.5;1;1,1,-34.5838;120.8875;15.0000
31,1;0.5;1;1,1,-36.0421;125.5040;15.0000
32,1;0.5;1;1,1,-34.8098;128.2892;15.0000
33,1;0.5;1;1,1,-29.9559;128.2130;15.0000
34,1;0.5;1;1,1,-25.1252;127.7721;15.0000
35,1;0.5;1;1,1,-20.2800;127.4474;15.0000
36,1;0.5;1;1,1,-16.1563;128.0222;15.0000
37,1;0.5;1;1,1,-15.1097;132.7643;15.0000
38,1;0.5;1;1,1,-13.9480;137.4631;15.0000
39,1;0.5;1;1,1,-10.3356;138.3572;15.0000
40,1;0.5;1;1,1,-6.1259;136.1542;15.0000
41,1;0.5;1;1,1,-1.9226;133.7308;15.0000
42,1;0.5;1;1,1,2.1996;131.1805;15.0000
43,1;0.5;1;1,1,6.1974;128.4336;15.0000
44,1;0.5;1;1,1,10.3118;125.8674;15.0000
45,1;0.5;1;1,1,13.8132;125.6086;15.0000
46,1;0.5;1;1,1,16.5926;129.5879;15.0000
47,1;0.5;1;1,1,19.9347;132.1777;15.0000
48,1;0.5;1;1,1,22.5565;128.2768;15.0000
49,1;0.5;1;1,1,24.9625;124.0840;15.0000
50,1;0.5;1;1,1,26.8199;119.5975;15.0000
51,1;0.5;1;1,1,28.2990;114.9787;15.0000
52,1;0.5;1;1,1,30.6703;111.7986;15.0000
53,1;0.5;1;1,1,35.4467;112.6744;15.0000
54,1;0.5;1;1,1,38.1683;110.7096;15.0000
55,1;0.5;1;1,1,38.0439;105.8553;15.0000
56,1;0.5;1;1,1,37.6339;101.0178;15.0000
57,1;0.5;1;1,1,37.1615;96.1849;15.0000
58,1;0.5;1;1,1,39.9653;93.6142;15.0000
59,1;0.5;1;1,1,43.7063;91.0188;15.0000
60,1;0.5;1;1,1,40.5067;87.6900;15.0000
61,1;0.5;1;1,1,36.3885;85.3288;15.0000
62,1;0.5;1;1,1,32.4861;82.7053;15.0000
63,1;0.5;1;1,1,32.3204;77.8523;15.0000
64,1;0.5;1;1,1,32.4884;73.0354;15.0000
65,1;0.5;1;1,1,34.5822;68.6658;15.0000
66,1;0.5;1;1,1,35.3263;63.8883;15.0000
67,1;0.5;1;1,1,34.4387;59.1456;15.0000
68,1;0.5;1;1,1,32.1706;54.8596;15.0000
69,1;0.5;1;1,1,29.1255;51.6772;15.0000
70,1;0.5;1;1,1,25.4409;48.5157;15.0000
71,1;0.5;1;1,1,25.9972;43.9687;15.0000
72,1;0.5;1;1,1,23.9399;39.5784;15.0000
73,1;0.5;1;1,1,22.0317;35.2670;15.0000
74,1;0.5;1;1,1,23.2963;30.5809;15.0000
75,1;0.5;1;1,1,24.4628;25.8688;15.0000
76,1;0.5;1;1,1,24.9782;21.6583;15.0000
77,1;0.5;1;1,1,20.1230;21.7012;15.0000
78,1;0.5;1;1,1,15.2669;21.6790;15.0000
79,1;0.5;1;1,1,10.4115;21.5973;15.0000
80,1;0.5;1;1,1,5.5583;21.4289;15.0000
81,1;0.5;1;1,1,0.7079;21.1945;15.0000
82,1;0.5;1;1,1,-4.1444;21.0016;15.0000
83,1;0.5;1;1,1,-8.9995;20.9583;15.0000
84,1;0.5;1;1,1,-13.8480;21.0169;15.0000
